,CPI,CPI_YoY
1955-01-01,17.098589999999998,
1955-02-01,17.098589999999998,
1955-03-01,16.98852,
1955-04-01,17.135279999999998,
1955-05-01,16.97017,
1955-06-01,16.98852,
1955-07-01,16.915129999999998,
1955-08-01,17.02521,
1955-09-01,17.098589999999998,
1955-10-01,17.20867,
1955-11-01,16.80506,
1955-12-01,16.73167,
1956-01-01,16.8234,-1.6094309530785833
1956-02-01,16.97017,-0.7510560812324152
1956-03-01,17.00686,0.10795525448950016
1956-04-01,17.04355,-0.5353282817672
1956-05-01,16.97017,0.0
1956-06-01,17.31875,1.9438420768848719
1956-07-01,16.97017,0.3253891634294348
1956-08-01,17.0619,0.21550394973102183
1956-09-01,17.20867,0.6437957749732881
1956-10-01,17.3004,0.5330452614873638
1956-11-01,17.00686,1.20082879799297
1956-12-01,17.19032,2.741208737681289
1957-01-01,17.37379,3.271574117003695
1957-02-01,17.33709,2.16214687301306
1957-03-01,17.392129999999998,2.265379970200243
1957-04-01,17.50221,2.69110601957927
1957-05-01,17.648979999999998,4.000018856617227
1957-06-01,17.59394,1.5889714904366636
1957-07-01,17.79575,4.864889391208238
1957-08-01,17.92417,5.053774784754328
1957-09-01,17.83244,3.624742644260115
1957-10-01,17.7774,2.757161684122922
1957-11-01,17.5389,3.1283846636004586
1957-12-01,17.50221,1.814335044373827
1958-01-01,17.5389,0.9503395632156408
1958-02-01,17.392129999999998,0.31746965609567024
1958-03-01,17.31875,-0.42191496958680075
1958-04-01,17.392129999999998,-0.6289491441366701
1958-05-01,17.37379,-1.559240250711369
1958-06-01,17.57559,-0.10429727508449727
1958-07-01,17.50221,-1.6494949636851497
1958-08-01,17.685670000000002,-1.3306055454729515
1958-09-01,17.59394,-1.337450175074184
1958-10-01,17.74071,-0.20638563569476132
1958-11-01,17.55725,0.10462457736801767
1958-12-01,17.5389,0.20963066949830633
1959-01-01,17.55725,0.10462457736801767
1959-02-01,17.48386,0.5274224606186984
1959-03-01,17.5389,1.271165644171779
1959-04-01,17.63063,1.3713098970626447
1959-05-01,17.50221,0.7391593889416237
1959-06-01,17.63063,0.31316160652359315
1959-07-01,17.648979999999998,0.8385798136349543
1959-08-01,17.92417,1.3485494188232527
1959-09-01,17.75905,0.9384481247520338
1959-10-01,17.99755,1.4477436359649598
1959-11-01,17.905820000000002,1.9853336940580224
1959-12-01,17.905820000000002,2.0920354184127854
1960-01-01,18.12598,3.2392886129661402
1960-02-01,18.14432,3.777541115062699
1960-03-01,18.08928,3.138053127619167
1960-04-01,18.199360000000002,3.2258064516129226
1960-05-01,18.36448,4.926634979239752
1960-06-01,18.29109,3.7460941554555927
1960-07-01,18.27275,3.5343118979113797
1960-08-01,18.41951,2.763531031004507
1960-09-01,18.56628,4.5454571049690085
1960-10-01,18.65801,3.6697217121219206
1960-11-01,18.40117,2.7664189632197633
1960-12-01,18.54794,3.5860965875899486
1961-01-01,18.804779999999997,3.7449009653546916
1961-02-01,18.89651,4.145594874869918
1961-03-01,18.859820000000003,4.259649914203356
1961-04-01,19.04328,4.63708613929279
1961-05-01,18.95155,3.1967689801181365
1961-06-01,18.95155,3.610829097664503
1961-07-01,19.26344,5.421679823781322
1961-08-01,19.41021,5.378536128268352
1961-09-01,19.52028,5.138347584976644
1961-10-01,19.942239999999998,6.882995560619798
1961-11-01,20.03397,8.873348814233006
1961-12-01,20.21744,9.00099957192011
1962-01-01,20.345860000000002,8.195150381977378
